model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr,source_run
vicsek,rho_2,0,0,20,0.07272298217218072,0.03294774882124251,0.0073673406069886815,0.993,0.011224972160321834,0.0025099800796022287,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,50,20,0.6029877787507931,0.21039325921301658,0.047045362960803895,0.99925,0.0023848480035423662,0.000533268225192539,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,100,20,0.8487041923188411,0.17871633384168994,0.039962187115956484,0.9984999999999999,0.005500000000000005,0.0012298373876248854,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,150,20,0.9419436549420166,0.11813649966800215,0.02641612438815341,0.9994999999999999,0.0015000000000000013,0.0003354101966249687,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,200,20,0.9812246470228075,0.04935141478429967,0.011035311824348217,0.99975,0.0010897247358851695,0.00024366985862022433,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,250,20,0.9956035545139125,0.0109776290763337,0.0024546724846460383,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,300,20,0.9984753891611721,0.003527827882662302,0.0007888462958552058,0.9949999999999999,0.021794494717703363,0.00487339717240448,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,350,20,0.999312915395438,0.001617525916706572,0.00036168979051235577,0.9949999999999999,0.021794494717703363,0.00487339717240448,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,400,20,0.9996404764421951,0.0009208943744124252,0.00020591824212833258,0.99125,0.02654595072699412,0.005935855035291881,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,450,20,0.9997645078987656,0.0006323802922063766,0.00014140453210046385,0.99125,0.02654595072699412,0.005935855035291881,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,500,20,0.9998258038439156,0.0004959590150295523,0.00011089980716599188,0.99125,0.02654595072699412,0.005935855035291881,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,550,20,0.9998588315747133,0.00044488349395688383,9.947897345552092e-05,0.99125,0.02654595072699412,0.005935855035291881,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,600,20,0.9999030114012166,0.000321621044950371,7.191665195035451e-05,0.9949999999999999,0.021794494717703363,0.00487339717240448,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,650,20,0.9999450377247447,0.0001802697856924458,4.0309549509762776e-05,0.9949999999999999,0.021794494717703363,0.00487339717240448,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,700,20,0.9999805536154268,5.251329985136602e-05,1.1742330819048401e-05,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,750,20,0.9999935937396854,1.7147704982863177e-05,3.834343399979393e-06,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,800,20,0.9999967270920248,1.1005846284618296e-05,2.4609820442320005e-06,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,850,20,0.9999984118484072,5.7924306409212466e-06,1.295226866805258e-06,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,900,20,0.9999992650501703,2.7701613402702426e-06,6.194269065486188e-07,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,950,20,0.999999656183852,1.3261772186876974e-06,2.965422411197296e-07,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1000,20,0.9999998382058731,6.354624848826225e-07,1.4209373133484761e-07,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1050,20,0.9999999235799674,3.0468145691508584e-07,6.812884491458053e-08,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1100,20,0.9999999638070879,1.461413369038385e-07,3.267819636396815e-08,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1150,20,0.9999999828016535,7.020493087913017e-08,1.5698299780140914e-08,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1200,20,0.9999999918410921,3.360901580011388e-08,7.515204398591912e-09,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1250,20,0.9999999961238515,1.609098780652979e-08,3.5980542560520844e-09,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1300,20,0.9999999981562656,7.70433265542299e-09,1.7227411538797268e-09,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1350,20,0.9999999991221051,3.6889245659617746e-09,8.248686093359434e-10,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1400,20,0.9999999995816277,1.7663180180092987e-09,3.9496071581514894e-10,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1450,20,0.9999999998004736,8.457414033285748e-10,1.8911352692287601e-10,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1500,20,0.9999999999047852,4.0495204216321107e-10,9.055002939043009e-11,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1550,20,0.9999999999545397,1.9389438133776693e-10,4.335610171265135e-11,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1600,20,0.9999999999782856,9.283718774306138e-11,2.0759026263339554e-11,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1650,20,0.999999999989624,4.445030137643392e-11,9.939389549805871e-12,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1700,20,0.9999999999950406,2.1282624139884658e-11,4.758939431636009e-12,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1750,20,0.9999999999976291,1.0189916144418464e-11,2.2785345183942247e-12,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1800,20,0.9999999999988661,4.878721346752596e-12,1.0909152574618128e-12,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1850,20,0.9999999999994582,2.3359159977198602e-12,5.223266960630851e-13,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1900,20,0.9999999999997409,1.1185306500595304e-12,2.501110568450139e-13,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,1950,20,0.9999999999998763,5.354439823906778e-13,1.1972891427687558e-13,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2000,20,0.999999999999941,2.563412307366075e-13,5.731964173630128e-14,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2050,20,0.9999999999999721,1.2275582845950897e-13,2.7449037706976533e-14,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2100,20,0.999999999999987,5.887938412749769e-14,1.3165830538240697e-14,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2150,20,0.9999999999999941,2.844618018094754e-14,6.360759258480596e-15,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2200,20,0.9999999999999977,1.3622549615086258e-14,3.0460946966196467e-15,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2250,20,0.9999999999999993,6.768944743020952e-15,1.5135820581334694e-15,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2300,20,1.0,3.5209826617149826e-15,7.873156579192847e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2350,20,1.0000000000000004,2.191080762056036e-15,4.899405528149338e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2400,20,1.0000000000000004,1.5713088091859367e-15,3.513553310984e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2450,20,1.0000000000000007,1.3504620710178523e-15,3.019724991831066e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2500,20,1.0000000000000007,1.3687298456537954e-15,3.060572977714681e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2550,20,1.0000000000000009,1.2914428043704592e-15,2.887753899625309e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2600,20,1.0000000000000009,1.2607143410086156e-15,2.819042966704115e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2650,20,1.0000000000000007,1.3540511409018266e-15,3.02775039606763e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2700,20,1.0000000000000007,1.2813339763665173e-15,2.8651498730356415e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2750,20,1.0000000000000007,1.298759280087348e-15,2.904114036683999e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2800,20,1.0000000000000007,1.3839543438904797e-15,3.0946159906952334e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2850,20,1.0000000000000007,1.4515502657637269e-15,3.245765067005579e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2900,20,1.0000000000000007,1.3447454650240427e-15,3.0069422722283253e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,2950,20,1.0000000000000009,1.3504620710178523e-15,3.019724991831066e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0,3000,20,1.0000000000000007,1.3766205905760418e-15,3.0782172197539357e-16,1.0,0.0,0.0,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,0,20,0.06679352350329633,0.023346711479162684,0.005220483391848243,0.991,0.018411952639521965,0.0041170377700477795,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,50,20,0.6748145053491309,0.18049571561157052,0.04036006897549417,0.9712500000000001,0.09596711676402497,0.021458899668901948,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,100,20,0.8866168868108322,0.13336975139969073,0.029822383027195618,0.99275,0.023689396362085714,0.005297110061155987,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,150,20,0.9611912377917792,0.07027063677650272,0.01571299206544568,0.9977499999999999,0.007822243923581015,0.001749106914971182,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,200,20,0.9835092614612281,0.04225368848939831,0.009448211976239502,0.9984999999999999,0.0047696960070847325,0.001066536450385078,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,250,20,0.9893961850454375,0.03373740257790228,0.007543912554846614,0.999,0.004358898943540678,0.0009746794344808973,final_fine_grid_steps3000_R20_v1
vicsek,rho_2,0.050000000000000003,300,20,0.9917123445919487,0.027761135965403652,0.006207578715125681,0.9872500000000001,0.046783410521252074,0.01046108861447985,final_fine_grid_steps3000_R20_v1
